index,title,director,cast,genres,Release Month,Release Date,Highest Grosser By Year(in crores)
1308,Sajiv Murti,"S, F, Hsnain","h,d,roshanara,chhaila,nirmal,kumar,sharma,p,k,ashalata,vijay,bhai,darpan,s,kusum",social,,,
1309,Sati Sulochana,Mamasaheb Shinde,"gole,patil,indubala,chandrika,godbole,s,kalawati",devotional,,,
1310,Sati Toral,Chunilal Parekh,"bhavani,b,dave,s,ashalata,noorjahan,yashwant,shanker,alaknanda,kusum,hoogan",devotional,,,
1311,Selima,Modhu Bose,"khan,hasandin,madhavi,d,indubala,hamid,gul,mazhar,kishore,rasool,burman,nand,ghulam,radhabai,s,pehalwan",costume,,,
1312,Shadi Ki Raat,M. D. Bhavnani,"baby,ghosh,puri,devaskar,prasad,l,kumar,shivrani,nayampally,vijay,fatty,s,shrifa,gyani,omkar,nargis",social,,,
1313,Shah Behram,J. P. Advani,"jani,master,bibijan,dulari,zebunissa,nissar,babu,sardar,akhtar","costume,action",,,
1314,Shahi Lutera,A. R. Kabuli,"khan,kamla,n,mumtaz,ali,a,begum,azurie,ameena,r,sunita,devi,ashraf,sadiq,kabuli,pasha","costume,action",,,
1315,Shamshir-E-Arab,Niranjan Bhardawaj,"jal,lallubhai,mohini,ismail,rajkumari,jayant,writer,shirin,m,umakant,zahur",costume,,,
1316,Sher Dil Aurat aka. Free Souls,A. P. Kapoor,"khan,bhudo,baby,tarabai,puri,yagnik,jairaj,l,s,a,nargis,p,ameena,adwani,w,m,lalita,khatoon,gyani,navin",costume,,,
1317,Shri Satyanarayan,Dhrupad Roy,"ranjana,pushpa,indubala,chaube,ved,chitnis,leela,godbole,pathak,ramkrishna",devotional,,,
1318,Silver King,Chimanlal Luhar,"sabita,asooji,tarabai,devi,patel,jamoo,motilal,yakub",action,,,
1319,Sone Ka Shaher aka. Golden City,A. P. Kapoor,"jal,kamala,kumari,merchant,abu,sagar,bakar,baburao,krishna,laxmi,mustafa",action,,,
1320,Step Mother,S. D. Kerawala,"pahelwan,khan,indubala,hamid,gul,mazhar,sultana,radharani",social,,,
1321,Stree Dharma,C. M. Rafi,"n,baby,mumtaz,noor,hadi,azurie,nazir,ansari,mehta,agha,jehan,butt,g",social,,,
1322,Swarg Ki Seedhi,A. R. Kardar,"kapoor,khursheed,zia,prithviraj,khadim,gyan,umra,singh",social,,,
1323,Talash-E-Haq aka. Search For Truth,C. M. Luhar,"pesi,ashik,raza,baby,akhtar,ali,a,mehdi,r,patel,kayam,gulzar,bai,nargis,jaddanbai,hussain,yakub",social,,,
1324,Taqdeer,Babubhai Jani,"navinchandra,shyam,bachchu,munshi,rao,shivrani,jilani,maruti,haridas,alaknanda,mehtab",costume,,,
1325,Toofani Tamancha,R. N. Vaidya,"pokhraj,gul,miss,shanker,banu,shiraj",costume,,,
1326,Triya Charitra,S. F. Hasnain,"premi,kumari,harprasad,hadi,roshanara,begum",social,,,
1327,Typist Girl,A. R. Kabuli,"kamla,shakuntala,a,haroon,ameena,r,sadiq,kabuli",social,,,
1328,Usha,Baburao Painter,"d,kale,sushila,dudhale,govindrao,tembe,karnakar,k,usha,devi,ratnaprabha,vasudeo,mantri",mythology,,,
1329,Vasant Prabha,"Abbas Ali, Mohammed Hussain","jani,shaila,mohammed,rajkumari,kashmiri,violet,rose,ghulam,cooper,agha,mustafa,hussain",social,,,
1330,Veer Kumari,Balakrishna Narayan Rao,unknown,costume,,,
1331,Vengeance is Mine aka. Ver Nu Vasulat,Sarvottam Badami,"sabita,khan,mehi,kumar,hassan,ansari,devi,padma,sitara,mehboob,shaligram,yakub",social,,,
1332,Wamaq Azra,Tarat Bose,"kapoor,rasool,indira,rajkumari,a,trilok,r,devi,ghulam,bashir,kabuli",legend,,,
1333,Woh Kaun,A. M. Khan,"navinchandra,yasmin,master,ata,mohammed,lekhraj,vidya,radha,devi",unknown,,,
1334,Yasmin aka. Bewafa Ashq,Hari Shivdasani,"amirbai,manek,h,d,hamid,siddiqui,karnataki,alexander,mirza,m,rattanbai,gope",social,,,
1335,Zingaro,S. N. Bhende,"pushpa,gulab,mohammed,nayampally,miss,nazir,mansuri,zohrajan,takle",action,,,
1336,Achhut Kanya,Franz Osten,"ali,kumar,chandra,lal,kumari,mumtaz,prabha,p,rani,bai,pramila,pithavala,devika,sr,anwari,devi,kusum,ashok,manorama,prasad,kishori,kamta,sunita,f",social,,,
1337,Ailane Jung aka. Ultimatum,J. P. Advani,"jani,effendi,khursheed,bibijan,prabhashankar,zebunissa,babu,balabhai,yusuf","costume,action",,,
1338,Akhri Galti,Kanu Roy,"kamla,mubarak,sohanlal,devi,meherulnissa",costume,,,
1339,Amar Jyoti,V. Shantaram,"n,mohan,kale,vasant,khote,shanta,apte,nandrekar,vasanti,k,aruna,chandra,devi,desai,durga","adventure,action",,,
1340,Amar Prem,Natwar Shyam,"himmatlal,anwaribai,joshi,samson,nazir,ansuya,ashiq,p,r,s,fazlu,hussain,pramila",action,,,
1341,Amar Shaheed,Balasaheb Yadav,"shalini,balasaheb,pawar,yadav",patriotic,,,
1342,Andheri Duniya,Vishram Bedekar,"prem,damuanna,ganpatrao,malvankar,kolhatkar,marathe,chintamani,sushila,shakuntala,rao,dinanath,borkar,devi,sawant,paranjpye,ram,prema",social,,,
1343,Ansuon Ki Duniya,A. P. Kapoor,"sarla,urmila,hanuman,anwaribai,prasad,ghulam,surendra,qadir,feroza",social,,,
1344,Aseere Hawas,Pandit Shiv Kumar,"jagirdar,danve,shinde,ameena,usha,devi,nabi,jog,gajanan",social,,,
1345,Ashiana,Sukumar Dasgupta,"charlie,devbala,aziz,manilal,rajkumari,lahiri,satyanath,ishrat,jeevan,beenu",social,,,
1346,Azad Veer aka. Revenge,Rasik Bhatt,"jahangir,lallubhai,umakant,mohini,rajababu,rajkumari,esmail,shirin,jayant","costume,action",,,
1347,Baaz Bahadur,Haribhai Desai,"navinchandra,kamla,jenabai,putlibhai,master,pawar,sheelprabha,bhim,fakira,brijmala","legend,historical",,,
1348,Baghi Sipahi,Abdul Rashid Kardar,"kumari,indubala,hamid,gul,patience,mohammed,bimla,ishaq,azurie,cooper,lalita,khatoon,anees,kamran",costume,,,
1349,Bala Ki Raat aka. One Fatal Night,Modhu Bose,"kapoor,zarina,may,ghosh,indubala,khatoon,bhattacharya,manilal,begum,gafoor,p,r,devi,geeta,azmat,dhiraj",unknown,,,
1350,Bambai Ki Billi aka. Wildcat,Nandlal Jaswantlal,"sayed,jamshedji,d,vyas,sulochana,ahmed,mohammed,jilloobai,billimoria,lakshmi,khansaheb,ghulam,myers,abdul,baba,qadir,pramila,ruby","social,action",,,
1351,Banarsi Thug,Rama Chowdhary,"jal,mubarak,merchant,apsara,mumtaz,shivrani,dixit,hirabai,sundrabai,barodekar,bhagwandas",unknown,,,
1352,Bandit Of The Air aka. Hawai Daku,S. R. Choudhary,"khan,n,pyari,manjari,mazhar,chhotu,k,hashmat,ram,singh",action,,,
1353,Bansari Bala,A. M. Khan,"gohar,bachchu,mirajkar,mansoor,vazare,ali,karnataki,bibijan,solanki,razak,shanker,chhailaram",unknown,,,
1354,Berozgar,B. S. Rajhans,"soofi,b,shyama,panjwani,jairaj,gulab,rajhans,chitnis,leela,p,agha,s,ram,gulshan,zutshi",social,,,
1355,Bhakta Cheta,Shri Krishna,"mohan,master,b,sohani,mohini,ratnaprabha,salvi",devotional,,,
1356,Bharat Ka Lal,S. M. Yusuf,"nawaz,devangana,chandrarao,kadam,bhagwan,k,sadiq,madhavrao,m,feroza,khatoon,niranjan",action,,,
1357,Bholi Bhikharan,Babubhai Jani,"marathe,bachchu,mumtaz,mohini,lavji,keshavrao,lavangia,ram,haridas,alaknanda,mengle,mehtab",social,,,
1358,Black Box,R. N. Vaidya,"shahjahan,dhirajlal,harishchandra,begum,nazir,mehta,dalpat,madhavlal,bipin","costume,action",,,
1359,Bulbul-e-Iran,Faredoon Irani,"pearl,jani,sabir,khalil,violet,agha,ghulam,abdul,qadir,mustafa,mahajabin,hussain",costume,,,
1360,Burkhewali,Kikubhai Desai,"pokhraj,gohar,bright,dhulia,mansur,ali,shiraz,sardar,shabir,pearl,bachcha,shankar,vajre",costume,,,
1361,Chalak Chor,Raja Sandow,"charlie,ram,ishwarlal,apte,shanta,raja,dixit,sandow,padma,kesari,ghory,khatoon,rewashankar","costume,action",,,
1362,Chhaya,Master Vinayak,"indra,marathe,master,wadkar,pandit,baburao,vinayak,anant,indira,chitnis,leela,hardikar,chandra,ratnaprabha,pendharkar",social,,,
1363,Chhupa Rustom,R. N. Vaidya,"shahjahan,gyanchandra,harishchandra,agha,vaidya,dalpat",costume,,,
1364,Country Girl,Dhiren Ganguly,"nimbalkar,kamla,kumari,azurie,hashmat,premlata,jharia,sham",social,,,
1365,Dalit Kusum,"M. L. Tandon, Michael Ormalev","prem,nawaz,kamla,kumari,ahindra,chowdhary,azurie,jharia,firoza,motilal,khatoon,akhtar",unknown,,,
1366,Deccan Queen,Mehboob Khan,"pesi,bhudo,kamla,raza,advani,pande,ali,mehdi,a,aruna,devi,patel,kayam,gulzar,m,surendra,ramchandra,mani",action,,,
1367,Derby Ka Shikar,N. G. Bulchandni,"mamajiwala,prem,nimbalkar,gohar,kumari,khan,sehgal,zohra,dhumi,lalaram,vilayat,radhabai,kailash,hussain",social,,,
1368,Dil Ka Daku,D. N. Madhok,"charlie,ishwarlal,apte,raja,dixit,sandow,bhupatrai,ram,ghory,khatoon,anees",costume,,,
1369,Dilawar,M. Bhavnani,"nayampalli,jahangir,yagnik,a,shivrani,prabha,devi,s,navin,motilal,gyani",action,,,
1370,Din-o-Duniya,H. R. Sethi,"prem,bhagsingh,kumari,shah,a,devi,hiralal,mukta",action,,,
1371,Do Diwane,C. M. Luhar,"pesi,bhudo,shobhana,advani,raza,samarth,ali,sankatha,prasad,mehdi,aruna,devi,patel,kayam,gulzar,motilal,yakub",social,,,
1372,Farz-e-Ada,A. M. Khan,"shankar,ata,bibijan,mansur,ali,mohammed,vidya,roshan,devi,shahzadi,sardar,vajre",costume,,,
1373,Fauladi Mukka,R. N. Vaidya,"atish,shahjahan,husn,master,chhotu,harishchandra,rao,begum,nazir,sayani,cooper,banu,dalpat,minoo",action,,,
1374,Fida-E-Watan,G. R. Sethi,"prem,amirbai,kumari,effendi,indurani,karnataki,gulzar,sardar,gope,akhtar,yusuf","costume,action",,,
1375,Garib Pariwar,M. Bhavnani,"bhudo,nayampalli,advani,jairaj,p,tara,ameena,bibbo,khalil","costume,drama",,,
1376,Gazi Diler,"G. K. Mehta, K. Shah","navinchandra,nagar,shamsad,padmavati,manibai,amritlal",costume,,,
1377,Gol Nishan,M. Udwadia,"navinchandra,nagar,gohar,shilprabha,fakir,karnataki,mohammed,bhim,brijmala,amritlal",social,,,
1378,Graduate aka. Parivartan,Ezra Mir,"nawaz,indubala,jahanara,kajjan,khalil,mohamed,hussain,akhtar",social,,,
1379,Grama Kanya aka. Village Girl,Sarvottam Badami,"sabita,baby,ali,sankatha,prasad,indira,aruna,devi,jamu,kayam,patel,surendra,yakub",social,,,
1380,Gulam Daku,Moti Gidwani,"sayed,jamshedji,poonawala,rasool,ahmed,jamna,mohammed,jilloobai,rustom,rose,ghulam,ghaznavi,rafique",action,,,
1381,Gunehgar,"H. R. Soni, Baba Kesar Singh","mamajiwala,kamla,gohar,shah,kumari,soni,haidar,shamsuddin,manmohan,marutirao",social,,,
